,Sentence,language,stopwords count,Actionable Words,Check Email,Check Phone,Check URL or Link,Sentiments,Named Entinties,Profanitries
54,B2C - Delivery timelines,English,2,Null,,,,Neutral,[],[]
55,AS PER CX APNE ORDER KI DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED....\n\n,Roman Urdu,6,"['order', 'delivery', 'time', 'guide']",Null,Null,Null,Neutral,['Null'],['Null']
56,B2C - Information::Other platform/Website info,English,,Null,,,,,,
57,B2C - Information::Other platform/Website info,English,,Null,,,,,,
58,as per cus kisi watson ka no poch rahe thy so guide kar diya hai k ap ne tabiyat.pk se raabta kiya hai,Roman Urdu,9,"['guide', 'tabiyat.pk', 'raabta']",,,,,,
59,as per cus kisi ali pharmacy ka no poch rahe thy so guide kar diya hai k ap ne tabiyat.pk se raabta kiya hai,Roman Urdu,8,"['pochna', 'guide', 'kar diya', 'tabiyat.pk', 'raabta']",,,,,['Ali Pharmacy'],[]
60,B2C - Delivery timelines,English,0,Null,,,,Neutral,[],[]
61,AS PER CX APNE ORDER KI DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED....\n\n,Roman Urdu,6,"['order', 'delivery', 'time', 'guide']",,,,Positive,,
62,as per cus kisi dawai pharmacy ka no poch rahe thy so guide kar diya hai k ap ne tabiyat.pk se raabta kiya hai,Roman Urdu,7,Null,,,,Neutral,['tabiyat.pk'],[]
63,B2C - Information::Other platform/Website info,English,0,Null,,,,Neutral,[],[]
64,as per cus apne order mein address modify karwane aye thy so guide kardiya hai k jab hamari team ki janib se confirm kiya jae ga order tab ap modify karwa lijiye ga kindly noted,Roman Urdu,7,"['order', 'address', 'modify']",,,,Positive,[],[]
65,AS PER CX APNE ORDER KI TCS DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED.....\n\n,Roman Urdu,8,"['order', 'TCS', 'delivery', 'time', 'guide']",,,,Neutral,"['CX', 'TCS']",[]
66,as per cus keh rahe thy k tcs ko q de diya parcel mera ap se do din phely order mangwaya tha woh to 3 gahnty mein deliver hogaya tha......,Roman Urdu,8,"['order', 'deliver']",,,,Neutral,['TCS'],
67,cx khe rahe mjhy 12 swe phele deliver karwaden urgent ha,Roman Urdu,2,"['deliver', 'urgent']",,,,Neutral,,
68,B2C - Own Fleet  - Rider Information,English,,Null,,,,,,
69,B2C - Delivery timelines,English,0,"['delivery', 'timelines']",,,,Neutral,,
70,AS PER CX APNE ORDER KI DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED....\n\n,Roman Urdu,3,"['order', 'delivery', 'time', 'guide']",,,,Positive,,
71,"1814 ki amount revert  hogi \n\n\n15114 ki amount thi total bill tha 13,300 ka \n\n\nbank details \n\n\n25207000640199\nHBL \nTiTal\nMAHA Wadood ",Roman Urdu,11,"['revert', 'amount', 'total bill', 'bank details']",,,,Neutral,[],[]
72,as per cus apne sbp order ki delivery timeline poch rahe thy so guide kar diya ,Roman Urdu,6,"['order', 'delivery', 'timeline']",,,,Neutral,[],[]
73,90R7H4 ye order meine create kiya hai as per cus ,Roman Urdu,5,"['order', 'create']",,,,,,
74,AS PER CX APNE ORDER KI TCS DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED.....\n\n,Roman Urdu,4,"['order', 'TCS', 'delivery', 'time', 'guide']",,,,Neutral,['TCS'],[]
75,:5CUD44 order k puch raeh thi guide krdiaa,Roman Urdu,5,"['order', 'puch', 'guide', 'krdiaa']",,,,,,
76,55LNLE guided delivery timeline.,English,0,Null,,,,Neutral,[],[]
77,guided rider already on the way hain.,Roman Urdu,4,"['rider', 'way']",,,,Positive,,
78,7L2Q2C guided prescription required hai,Roman Urdu,1,"['prescription', 'required']",,,,,,
79,D45ZSW \ AS PER RIDER CUSTOMER NE ORDER RETURN KARWA DIYA HAI KIUNKE WRONG ITEM GAYA THA DONO MOUTHWASH Sensodyne WALE GYE HAIN.,Roman Urdu,7,"['order', 'return']",,,,Neutral,['Sensodyne'],
80,N5SRTU \ guided rider already on the way hain.,Roman Urdu,3,"['guided', 'rider']",,,,Neutral,[],[]
81,4UBP90 \ Z867B9 GUIDED DELIVERY TIMELINE,English,3,['delivery'],,,,Neutral,['GUIDED DELIVERY'],
82,Delivery time line guide kia hay raat ka order tha LHR (work code NOT wroking) F8JIK3,Roman Urdu,5,['order'],,,,,['LHR'],
83, Z43AE7cx jana cha rahi thi mujhy box men 1 stirp mili hay Panadol Extend 665mg Tablet 10.0 'S guided 1 hi order kia tha app na 1 strip ka or guided time line for order BM73K6,Roman Urdu,3,['order'],,,,Neutral,['Panadol Extend 665mg Tablet 10.0'],
84,cx ko product kay bary men jana tha homeo pathic R41 guided humre pass homeo pathic medi nah huti hay ,Roman Urdu,6,"['jana', 'homeo pathic']",,,,,['R41'],
85,cx ko order card say karna hay iss liya cancel karwa rahy hay ye order 897619,Roman Urdu,4,"['order', 'cancel']",,,,Negative,,
86, Amount: 4080\nT.p Issue SKUS: 4901\nOrder Id: 1J9U88\n\n\nNestle Nido School Age Nutrition Powder 390.0 gm\n ka diffrence bataya hay ,Roman Urdu,5,"['Order', 'Id']",,,,,"['Nestle Nido', 'School Age Nutrition Powder']",[]
87,customer ne kaha me our of city hoon order cancel krden ,Roman Urdu,6,"['order', 'cancel']",,,,Negative,,
88,cs ko guide kr dia hy k order 4 hour h ander deliver ker dia jyga,Roman Urdu,4,"['order', 'deliver']",,,,Positive,,
89,rider ne kahe mera north nazimabad ka area hai or ye order surjani ke area ka hai jo bohot dur hai me nh ja sakhta ,Roman Urdu,5,['order'],,,,,"['north nazimabad', 'surjani']",
90,customer ne kaha me ghar pe nh hoon to is order ko cancel krwaden ,Roman Urdu,3,['cancel'],,,,Negative,,
91,discount ka pochne ai the sheet pr se check kr ke guide krdiya,Roman Urdu,4,"['discount', 'pochne', 'check', 'guide']",,,,,[],[]
92,arthri-flex - customer is item ke bare me poch rahi thin so check kr ke guide krdiya,Roman Urdu,,Null,,,,,,
93,guided as per discount sheet & confirmed that no partial / no cutting,English,4,"['discount', 'confirmed']",,,,Neutral,,
94,discount ka pochne ai the sheet pr se check kr ke guide krdiya,Roman Urdu,4,"['discount', 'pochne', 'guide']",,,,,,
95,discount not avileble in the sheet  please guide him,English,5,['guide'],,,,Neutral,,
96,cs ka order creat kia hy ,Roman Urdu,1,['order'],Null,Null,Null,Null,['Null'],['Null']
97,customer call nh utha rahe ,Roman Urdu,3,Null,,,,Negative,[],[]
98,customer call nh utha rahe ,Roman Urdu,0,Null,,,,,[],[]
99,tp adjust krwane ai the so kr ke guide krdiya ,Roman Urdu,1,"['adjust', 'guide']",,,,,,
100,cs ko delivery k hwaly sy guide ker dia hy,Roman Urdu,2,"['delivery', 'guide']",,,,,['cs'],[]
101,shop closed hai or call bhi nh utha rahe ,Roman Urdu,3,['call'],,,,Negative,,
102,discount ka pochne ai the sheet pr se check kr ke guide krdiya,Roman Urdu,4,"['discount', 'guide']",,,,,,
103,call land hoi hy or drop ho gai hy,Roman Urdu,0,Null,,,,Neutral,[],[]
104,cs ko callback krwai hai monthly order place krne ka hawale sy,Roman Urdu,5,"['callback', 'monthly order place']",,,,,['cs'],
105,"order marked as returned due to wrong location, call cx multiple times but he is nr",English,9,"['order', 'call']",,,,Negative,,
106, Amount: 576\nT.p Issue SKUS: Nestle Nido School Age Nutrition Powder 390.0 gm 24pcs\nOrder Id: Z7IH79,English,3,['order'],,,,Neutral,['Nestle Nido School Age Nutrition Powder'],
107,B2B -Previous Bill Adjustment in the closing sheet,English,6,"['bill', 'adjustment', 'closing sheet']",,,,Neutral,[],[]
108,cus ne order place karwaya hai payment link send kardo,Roman Urdu,0,"['order', 'place', 'payment', 'link', 'send']",,,,,,
109,B2B - Returns -Lack Of Cash.,English,4,['returns'],,,,Negative,,
110, Amount: 96\nT.p Issue SKUS: Nestle Nido School Age Nutrition Powder 390.0 gm 4pcs \nOrder Id: WR61VW,English,4,['Order'],,,,Neutral,['Nestle Nido School Age Nutrition Powder'],
111,as per rider cus ka kehna hai k mujhe is order mein kuch or bhi add karna tha ap ye order return kardein...,Roman Urdu,8,"['order', 'add']",,,,Negative,,
112,"Ensure Vanilla Powder 850.0 gm order ye kiya tha\nas per cus mujhe order mein ye item wrong receive hua hai Ensure Vanilla Powder 400.0 gm \ncus ko guide kar diya hai k ap humein pictures email per share kardein.,.",Roman Urdu,12,"['order', 'receive', 'guide', 'pictures', 'email', 'share']",,,,,,
113,caller kisi or ka no try kar rahe thy,Roman Urdu,2,Null,,,,Neutral,,
114, Amount: 38\nT.p Issue SKUS: Zopent 20mg Tablet 7.0 'S 2pcs\nOrder Id: 2EDF47,English,4,['order'],Null,Null,Null,Null,['Null'],['Null']
115,B2C - Returns - Missing Items,English,2,"['return', 'missing', 'items']",,,,,,
116,cx nay email ki thi kay app men hub error kaissue ara hay un ko guide kar dia hay apna google map update kar kay try kar len issue resolve hujey ag ,Roman Urdu,6,"['guide', 'update', 'resolve']",,,,Positive,['Google Map'],
117,Return Reason: as per rider cus k order mein item kam thy is liye order return kardiya hai rider ka kehna hai k warehouse se kaha gaya tha k ye order return hoga...,Roman Urdu,6,Null,,,,Positive,"['rider', 'warehouse']",
118,as per rider cus ki location per mojood hon address mein house no mention nhi hai call kar raha hon lekin pick nhi kar rahe hain kindly confirm karen......\n\n,Roman Urdu,7,Null,,,,,,
119,as per cus apne order ko modify karna chah rahe thy so order cancil kardiya new order place karna tha unhon ne,Roman Urdu,9,"['order', 'modify', 'cancel', 'place']",,,,Positive,,
120,as per caller kuch keh rahe thy per pura nhi bola or call drop kardi...,Roman Urdu,1,Null,,,,Neutral,,
121,B2B - Return - Discount Issue ,English,1,"['return', 'discount']",,,,Negative,,
122,as per rider cus ka kehna hai k mujhse ye order double place hogaya hai kindly ap ye order return kardein... ,Roman Urdu,9,"['order', 'place', 'return']",,,,Negative,,
123,B2C - Return - Customer unavailable,English,3,['return'],,,,Neutral,,
124,B2C - Delivery timelines,English,2,"['Delivery', 'timelines']",,,,Neutral,,
125,"""AS PER CX APNE ORDER KI DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED....\n\n",Roman Urdu,8,"['order', 'delivery', 'time', 'guide']",,,,,[],[]
126,cx khe rahe hai order kabse shippedhai ab tak deliver nahi huwa hai,Roman Urdu,8,"['order', 'shipped', 'deliver']",,,,Negative,,
127,I6A7C9 cx k orde rpuch rahe thy rider ko num dediyaa ,Roman Urdu,8,"['order', 'rider', 'number']",,,,,,
128,cx k order k puch raeh thi kab tak deliver hoga order shipped status pe hai supplier k num dediya,Roman Urdu,8,"['order', 'deliver', 'shipped', 'status']",,,,,,
129,B2C - Prescription required ,English,2,"['prescription', 'required']",,,,Neutral,,[]
130,ayesha se bat krni ha cx ko ,Roman Urdu,,Null,,,,,,
131,V2WA75 SBP order ha drafts m ,Roman Urdu,2,['order'],,,,,,
132,"6H5JOH , 6JMO8M",Null,0,Null,Null,Null,Null,Null,[],[]
133,guide krdia gya ha tabiyat.pk,Roman Urdu,,Null,,,tabiyat.pk,,,
134,L6RP3W SBP order ,Roman Urdu,0,['order'],,,,,[],[]
135,2KMHQN SBP order ,Roman Urdu,2,['order'],,,,,,
136,03332950599  wanted to change number in account ,Roman Urdu,5,Null,,9.23E+11,,Neutral,[],[]
137,no discount in sheet ,English,,Null,,,,,,
138,Order ID: Z9PZA6\n\n\ntp ka bata rahe thay call drop hogai by intellicon ,Roman Urdu,3,['order'],,,,Neutral,,
139,rider ki call thi wo kah rahy hain cx ko call ki thi wo ghr pe nahi hay or cash gahr pe nahi hu un kay ghr walo kay pass woa account men transfer kar sakty hay rider cx ki location pe hay ,Roman Urdu,13,"['call', 'transfer']",,,,Neutral,,
140,guided time line 3 to 4 hours according to karachi ,English,,Null,,,,Neutral,['Karachi'],
141,M42C84 guided mosegar 60 ml and etoxib 60 mg arrange ki ja rahi arrange huty hi ap ko order deliver kia jaye ga ,Roman Urdu,8,"['order', 'deliver']",,,,Neutral,,
142,cx apny order men mujood Ucheck Stethoscope  Device 1.0 'S kay sixe kay hwaly sayjkana cha rahy thy guided koi sixe mendtion nahi hay regular hi hay koi specific sixe define nahi hay ,Roman Urdu,7,['order'],,,,Positive,['Ucheck Stethoscope Device 1.0'],
143,S5H1D1 drafts m ha order,Roman Urdu,4,['order'],,,,,,
144,cx ko jana tha kay rider contact kar laingy mujhy q kay address sahi nahi araha tha guided ap ka address addidtional details men dala hua hay or ap ko contact kar lia jaye ga deliver hujye ap ko 1 say 2 hours men ,Roman Urdu,15,"['order', 'riding']",,,,Positive,['address'],
145,cx puch rahy ye mera order shipped ara ahy deliver hujye ga kia abhi raat men hu guided g hujye ga delivery time kay mutabik 1 say 2 ghnty men also provided rider no.also given product info about Calan SR 240mg Tablet 10 'S,Roman Urdu,10,"['order', 'shipped', 'deliver', 'delivery time']",,,,Neutral,['Calan SR 240mg Tablet'],
146,cx puch rahi order kab deliver huga gudie morning men huag q kay 10 bajy place hua hay order ,Roman Urdu,4,"['order', 'deliver', 'morning', 'place']",,,,Positive,,
147,cux puch rahy mery order kia hayunhe pleas process karwa kay deliver karwa den mera aik order  pahly hi cancel hu chuka hay guided ap kay ye 2 no order prcess kaerwa kay deliver karwa daity hay after confirming pharmasist ,Roman Urdu,3,"['order', 'deliver']",,,,Positive,['pharmacist'],
148,guided ap ak order suba deliver huga 10:30 peplace hua hay ,Roman Urdu,3,"['order', 'deliver']",,,,Positive,,
149,rider ki call ki thi wo kah rahy thy 2 orders hay in cx kay un kay pass emergency slip nahi hay on call cx naykaha de rahy rider nay kaha kay wo kahrahy de rahy or call drop kar di,Roman Urdu,11,['order'],,,,Neutral,['rider'],
150,guided order will delivered soon ,English,3,"['order', 'delivered']",,,,Positive,['order'],
151,guided delivery info ,English,1,['delivery'],Null,Null,Null,Positive,['Null'],['Null']
152,details bta rahe thay call drop,Roman Urdu,0,Null,,,,,[],[]
153,cx ko bulk men order karna tha so guided about tezmed,Roman Urdu,2,['order'],,,,Positive,['tezmed'],[]
154,N5SL37 rider ki call thi wo kah rahy thy kay cx ki 2 location dali hui hay or no. nahi lag raha guided kay wats app pay call kar len agr kar sakty hay delivery ins men likha hay rider nay kaha ok men kar laita hun,Roman Urdu,12,"['order', 'delivery']",,,,Positive,[],[]
155,cx delivery time jana cha rahy thy kah ray thu jaldi deliver hujye tu acha hay ,Roman Urdu,4,['delivery'],,,,Positive,,
156,cx delivery time jany aye thy product ki max qty or capping kay hawaly say guided accordinly after confirmog from pharmasist ,Roman Urdu,10,"['delivery time', 'product', 'qty', 'capping', 'guided', 'confirm']",,,,Neutral,['pharmasist'],[]
157,"""cx ka kuch product kay bary men jana tha stock hay ya nahi guide kar raha thy but call drop hugye bich men ",Roman Urdu,6,"['stock', 'guide']",,,,,,[]
158,cx apnyorder ka puch rahy thy ab tak deliver nahi hua rider kay pass hay show hu raha guided time line ,Roman Urdu,6,"['order', 'deliver', 'rider']",,,,,,
159,rider cx ki location pe hay but cx say contact nahi hu raha number pe ,Roman Urdu,2,"['rider', 'location', 'contact']",,,,,['cx'],
160,5GMK9F\ncx apny daraz order kay bary men jany aye thy kay kab tak aye ga guided reaming time 24 to 48 hours.,Roman Urdu,7,['order'],,,,Neutral,['Daraz'],
161,ye order ab tak RTS pe hay or cx ko deliver nahi hua hay ASAP deliver karwaye cx confirm kar cuky hay kay Butterfly Mother Comforts Sanitary Medium Pad 16.0 'S kay bagir bhjwa den q kay wo OOS tha ref ticket 1667734744572,Roman Urdu,7,"['order', 'deliver', 'ASAP']",,,,,"['RTS', 'Butterfly Mother Comforts', 'Sanitary Medium Pad']",
162,rider tahy call pe but awaz clear nahi a rahi thi call pe rider nay call drop kar di ,Roman Urdu,5,"['rider', 'call']",,,,Negative,,
163,"""cx puch rahy tu abhi ju order kia hay wo apbhi deliver huga guided koshish hugi 12 tak deliver hujye nahi tu pir morning mrn deliver huag q kay order 8:30 pe kia gaya hay  FI8RR0",Roman Urdu,10,"['order', 'deliver']",,,,Neutral,[],[]
164,cx kah rahy hay kay mera order agr abhi deliver karwa den ASAP tu acha hay mujhy abhi required hay unhe guide kia tha kay 8 bajt kay bad waky order subah delivery kay liya priocess kia jaty hay but cx request kar rahy thy agr possible hay tu cx ko ye abhi deliver karwa den ASAP 999K9W,Roman Urdu,15,"['order', 'deliver']",,,,Positive,,
165,cx ko order ka delivery time morning ka bataay hay ju kay morning ka bataya hay as per 8 bajy ka bad place hua hay order cx kah rahy the men subha nahi hunga ye order cancel kr den men subha  again place kar dunga pleas cancel as per cx request ,Roman Urdu,9,"['order', 'delivery', 'time', 'morning', 'place', 'cancel']",,,,,['cx'],[]
166,cx ka iss order IEF4F4 men Mixtard 30 HM 100IU Injection 10.0 ml miss tha ju kay cx ab bata rahy us time cx ko kisi or ka order recive hua tha usi time order ID G10Y9W jiss men yahi insulin 2 qty men thi jis kay cx nay pay kar diya thy price ab cx kah rahy mene 2 inculin kay pay kar diya ap ki team nay details frham ki thi us oe ju kay mujhy wrong order kisi or ka  Athar ahmad sahab ka receive hua tha or meen apny order men bhi is ki 1 qty kay pay kiya thay iss trha men 3 qty kay pay kar chuka hun but receive mujhy 2 qty hui hay sirf tu app mujhy aik kay paise return karen \n\n,Roman Urdu,34,"['order', 'receive', 'pay', 'return']",,,,Neutral,"['Mixtard 30 HM 100IU Injection', 'G10Y9W', 'insulin', 'Athar Ahmad']",
167,agent ki call thi wo kah rahy qty xayda lag gai hay iss liya cancel kar den order cancel as per request  ZBDXRQ,Roman Urdu,6,"['cancel', 'order']",,,,Negative,,
168,rider ki call thi cx kah rahy hay kay subha order deliver kar den COD order hay resdeule nahi hu saktahay 562HIB,Roman Urdu,7,"['order', 'deliver']",,,,Neutral,['COD'],
169,cx apny order kay hawaly say janay aye thu ju kay RX invlaid thi guided ye order process nahi hu paye ga q kay un kay pass rx nahi thi valid ,Roman Urdu,5,"['order', 'process']",,,,Negative,['RX'],
170,rider ki call thi cx ki location pe un kay house no pe waha kah rahy hum nay nahi kia order or cx ka no NR hay RNGRY9 ,Roman Urdu,3,['order'],,,,Neutral,['RNGRY9'],
171,cx delivery ka puchny aye thay kay kab huga order 9:30pe place hua tha tu as per SOP guide kia ye order subha deliver huag cx ko abhi chahiye thay tu wo kah rahy thy ap cancel kar den men ja kay lay laita hun. 86DK04,Roman Urdu,9,"['order', 'deliver', 'cancel']",,,,Negative,,
172,guided time line cx kah rahy order ab tak nahi order 9 bajy kiatha guided subha deliver huga ,Roman Urdu,4,"['order', 'deliver']",,,,Neutral,,
173,cx koorder ajj hi required or purany ticket pe kaha gaya hay kay ye TCS say jaye ga jis men 48 to 72 hours lagy gay iss liya cx nay order cancel karny ka kah diya hay ref case 1667755084652 order ID B80EQN,Roman Urdu,14,"['order', 'cancel']",,,,Neutral,['TCS'],[]
174,rider ki call thi wo kah rahy cx kah rahy hay kay order subha bhjwa den mujhy ,Roman Urdu,2,['order'],,,,Neutral,,
175, cx apny order kay hawaly say puch rahi thi kab deliver huga guided morning men delivery hugi  A9L8DB,Roman Urdu,8,"['order', 'deliver']",,,,Neutral,['A9L8DB'],[]
176,cx ko order urgent required tha agy request bh di hay urgent delivery ki time 3 to 4 hours bataya hay  ITW4DN,Roman Urdu,1,"['order', 'urgent', 'required', 'delivery', 'time']",,,,Positive,['ITW4DN'],[]
177,\n\nas per rider un ki shop close hay is liya order return kar dia hay ,Roman Urdu,5,"['order', 'return']",,,,Negative,,
178,guided ap ko order confirmation kay liya call ki jaye gi or mamlomat lijaye gi ju ap ko reqiured hay cx kah rahy thymujhyis men tobra dex required hay ju rx upload ki hay cx say confirm kar len unhe subha required hay ya abhi urgent ,Roman Urdu,15,"['order', 'confirmation', 'call', 'mamlomat', 'reqiured', 'tobra', 'dex', 'upload', 'confirm', 'subha', 'urgent']",,,,Positive,,
